text,label,text_length
ikn ibukota koruptor nepotisme ,negatif,31.0
sy mau tanya ikn itu untuk apa trs yg menempati ikn rakyat menengah kebawa apa untuk para pejabat ,negatif,98.0
bapak skolahin anak nya yg setinggi nnti bsa ngelamar krja di ikn nnti dsna jg bakal ada skolah rmh sakit dll,negatif,109.0
wacana belim ada kesitu realnya dan faktanya aja jangan ngomong yg blm terlaksana,negatif,81.0
follow ig ikn pak udh dr lama kq buka lowongan trs siapa tau mau dftar,negatif,70.0
gw yg tinggal di ikn,negatif,20.0
kabar angin katanya anggota parlemen tak ada yg mau pindah di ikn ya ,negatif,69.0
bandara k ikn brapa lama,negatif,24.0
ayo dukung tapera demi ikn,negatif,26.0
bakal di buka umum gasi,negatif,23.0
ini yg desain siapa si bangus banget apa lagi klu udah jadi,negatif,59.0
ikn itu apa ya,negatif,14.0
jirrrr iri banget gw sama paskibraka tahun sekarang udah bisa upacara di ikn ya apa masi di jakarta,negatif,99.0
pelantikan presiden terbaru kapan,negatif,33.0
buruntung lah kalian adik paskibraka nasional tahun ini,negatif,55.0
progres pembangunan bukannya sampek ya,negatif,38.0
udh  gitu taun ini keknya,negatif,25.0
seumpama hutang pembangunan ikn tidak lunas sampai kiamat nnti yg nggung di akhirat president apa rakyat ya,negatif,107.0
emg bisa udh selesai sebelum agustus ,negatif,37.0
lokasinya dimana,negatif,16.0
bingung mikirin konsep jalan ny paskibra nyapkh sama kyk di jakarta,negatif,67.0
nanti rumah ku jadi salah nya disana amiinnnnnnnn,negatif,49.0
fix kalau ikn jadi aku mau jalanâ ke ikn aja gak ke jakarta,negatif,60.0
yup soalnya banyak pepohonan,negatif,28.0
siapa yg bilang mustahil kemaren,negatif,32.0
ps,negatif,2.0
burubngt,negatif,8.0
ya baguslah knp emang kalau buru,negatif,32.0
ada macan ngga ya ­ ­,negatif,21.0
berasa di luar negeri,negatif,21.0
lapangan langsung menghadap garuda megah minus kayaknya panas ya,negatif,64.0
keknya ga deh bang soalnya banyak pohon dinsekitarannya,negatif,55.0
pemerintah mode serius,negatif,22.0
ini mau dipake buat agustus tahun ini ya,negatif,40.0
umr ikn brp,negatif,11.0
what are they building,negatif,22.0
jakarta sepi deh ­,negatif,18.0
